詞目,簡編本注音,字型目前顯示,差異(字:字型→簡編本(修法)),修法,備註
鬼使神差,ㄍㄨㄟˇ ㄕˇ ㄕㄣˊ ㄔㄞ,ㄍㄨㄟˇ ㄕˇ ㄕㄣˊ ㄔㄚ,差:ㄔㄚ→ㄔㄞ(IVS+1),IVS可修,
鬼子,ㄍㄨㄟˇ ˙ㄗ,ㄍㄨㄟˇ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
桂冠,ㄍㄨㄟˋ ㄍㄨㄢ,ㄍㄨㄟˋ ㄍㄨㄢˋ,冠:ㄍㄨㄢˋ→ㄍㄨㄢ(IVS+1),IVS可修,
桂冠詩人,ㄍㄨㄟˋ ㄍㄨㄢ ㄕ ㄖㄣˊ,ㄍㄨㄟˋ ㄍㄨㄢˋ ㄕ ㄖㄣˊ,冠:ㄍㄨㄢˋ→ㄍㄨㄢ(IVS+1),IVS可修,
櫃子,ㄍㄨㄟˋ ˙ㄗ,ㄍㄨㄟˋ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
會稽縣,ㄍㄨㄟˋ ㄐㄧ ㄒㄧㄢˋ,ㄏㄨㄟˋ ㄐㄧ ㄒㄧㄢˋ,會:ㄏㄨㄟˋ→ㄍㄨㄟˋ(IVS+3),IVS可修,
官倒,ㄍㄨㄢ ㄉㄠˇ,ㄍㄨㄢ ㄉㄠˋ,倒:ㄉㄠˋ→ㄉㄠˇ(IVS+1),IVS可修,
官官相護,ㄍㄨㄢ ㄍㄨㄢ ㄒㄧㄤ ㄏㄨˋ,ㄍㄨㄢ ㄍㄨㄢ ㄒㄧㄤˋ ㄏㄨˋ,相:ㄒㄧㄤˋ→ㄒㄧㄤ(IVS+1),IVS可修,
官長,ㄍㄨㄢ ㄓㄤˇ,ㄍㄨㄢ ㄔㄤˊ,長:ㄔㄤˊ→ㄓㄤˇ(IVS+1),IVS可修,
官差,ㄍㄨㄢ ㄔㄞ,ㄍㄨㄢ ㄔㄚ,差:ㄔㄚ→ㄔㄞ(IVS+1),IVS可修,
冠冕,ㄍㄨㄢ ㄇㄧㄢˇ,ㄍㄨㄢˋ ㄇㄧㄢˇ,冠:ㄍㄨㄢˋ→ㄍㄨㄢ(IVS+1),IVS可修,
冠冕堂皇,ㄍㄨㄢ ㄇㄧㄢˇ ㄊㄤˊ ㄏㄨㄤˊ,ㄍㄨㄢˋ ㄇㄧㄢˇ ㄊㄤˊ ㄏㄨㄤˊ,冠:ㄍㄨㄢˋ→ㄍㄨㄢ(IVS+1),IVS可修,
冠服,ㄍㄨㄢ ㄈㄨˊ,ㄍㄨㄢˋ ㄈㄨˊ,冠:ㄍㄨㄢˋ→ㄍㄨㄢ(IVS+1),IVS可修,
冠蓋,ㄍㄨㄢ ㄍㄞˋ,ㄍㄨㄢˋ ㄍㄞˋ,冠:ㄍㄨㄢˋ→ㄍㄨㄢ(IVS+1),IVS可修,
冠蓋如雲,ㄍㄨㄢ ㄍㄞˋ ㄖㄨˊ ㄩㄣˊ,ㄍㄨㄢˋ ㄍㄞˋ ㄖㄨˊ ㄩㄣˊ,冠:ㄍㄨㄢˋ→ㄍㄨㄢ(IVS+1),IVS可修,
冠蓋雲集,ㄍㄨㄢ ㄍㄞˋ ㄩㄣˊ ㄐㄧˊ,ㄍㄨㄢˋ ㄍㄞˋ ㄩㄣˊ ㄐㄧˊ,冠:ㄍㄨㄢˋ→ㄍㄨㄢ(IVS+1),IVS可修,
綸巾,ㄍㄨㄢ ㄐㄧㄣ,ㄌㄨㄣˊ ㄐㄧㄣ,綸:ㄌㄨㄣˊ→ㄍㄨㄢ(IVS+1),IVS可修,
關切,ㄍㄨㄢ ㄑㄧㄝˋ,ㄍㄨㄢ ㄑㄧㄝ,切:ㄑㄧㄝ→ㄑㄧㄝˋ(IVS+1),IVS可修,
管弦樂,ㄍㄨㄢˇ ㄒㄧㄢˊ ㄩㄝˋ,ㄍㄨㄢˇ ㄒㄧㄢˊ ㄌㄜˋ,樂:ㄌㄜˋ→ㄩㄝˋ(IVS+1),IVS可修,
管樂,ㄍㄨㄢˇ ㄩㄝˋ,ㄍㄨㄢˇ ㄌㄜˋ,樂:ㄌㄜˋ→ㄩㄝˋ(IVS+1),IVS可修,
館長,ㄍㄨㄢˇ ㄓㄤˇ,ㄍㄨㄢˇ ㄔㄤˊ,長:ㄔㄤˊ→ㄓㄤˇ(IVS+1),IVS可修,
館子,ㄍㄨㄢˇ ˙ㄗ,ㄍㄨㄢˇ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
罐頭,ㄍㄨㄢˋ ˙ㄊㄡ,ㄍㄨㄢˋ ㄊㄡˊ,頭:ㄊㄡˊ→˙ㄊㄡ(IVS+1),IVS可修,
棍子,ㄍㄨㄣˋ ˙ㄗ,ㄍㄨㄣˋ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
光暈,ㄍㄨㄤ ㄩㄣˋ,ㄍㄨㄤ ㄩㄣ,暈:ㄩㄣ→ㄩㄣˋ(IVS+1),IVS可修,
功不可沒,ㄍㄨㄥ ㄅㄨˋ ㄎㄜˇ ㄇㄛˋ,ㄍㄨㄥ ㄅㄨˋ ㄎㄜˇ ㄇㄟˊ,沒:ㄇㄟˊ→ㄇㄛˋ(IVS+1),IVS可修,
躬逢其盛,ㄍㄨㄥ ㄈㄥˊ ㄑㄧˊ ㄕㄥˋ,ㄍㄨㄥ ㄈㄥˊ ㄑㄧˊ ㄔㄥˊ,盛:ㄔㄥˊ→ㄕㄥˋ(IVS+1),IVS可修,
公合,ㄍㄨㄥ ㄍㄜˇ,ㄍㄨㄥ ㄏㄜˊ,合:ㄏㄜˊ→ㄍㄜˇ(IVS+1),IVS可修,
公公,ㄍㄨㄥ ˙ㄍㄨㄥ,ㄍㄨㄥ ㄍㄨㄥ,公:ㄍㄨㄥ→˙ㄍㄨㄥ(字型無此讀音),字型缺讀音,
公假,ㄍㄨㄥ ㄐㄧㄚˋ,ㄍㄨㄥ ㄐㄧㄚˇ,假:ㄐㄧㄚˇ→ㄐㄧㄚˋ(IVS+1),IVS可修,
公轉,ㄍㄨㄥ ㄓㄨㄢˋ,ㄍㄨㄥ ㄓㄨㄢˇ,轉:ㄓㄨㄢˇ→ㄓㄨㄢˋ(IVS+1),IVS可修,
供不應求,ㄍㄨㄥ ㄅㄨˋ ㄧㄥˋ ㄑㄧㄡˊ,ㄍㄨㄥ ㄅㄨˋ ㄧㄥ ㄑㄧㄡˊ,應:ㄧㄥ→ㄧㄥˋ(IVS+1),IVS可修,
供給,ㄍㄨㄥ ㄐㄧˇ,ㄍㄨㄥ ㄍㄟˇ,給:ㄍㄟˇ→ㄐㄧˇ(IVS+1),IVS可修,
供應,ㄍㄨㄥ ㄧㄥˋ,ㄍㄨㄥ ㄧㄥ,應:ㄧㄥ→ㄧㄥˋ(IVS+1),IVS可修,
宮闕,ㄍㄨㄥ ㄑㄩㄝˋ,ㄍㄨㄥ ㄑㄩㄝ,闕:ㄑㄩㄝ→ㄑㄩㄝˋ(IVS+1),IVS可修,
共襄盛舉,ㄍㄨㄥˋ ㄒㄧㄤ ㄕㄥˋ ㄐㄩˇ,ㄍㄨㄥˋ ㄒㄧㄤ ㄔㄥˊ ㄐㄩˇ,盛:ㄔㄥˊ→ㄕㄥˋ(IVS+1),IVS可修,
供品,ㄍㄨㄥˋ ㄆㄧㄣˇ,ㄍㄨㄥ ㄆㄧㄣˇ,供:ㄍㄨㄥ→ㄍㄨㄥˋ(IVS+1),IVS可修,
供佛,ㄍㄨㄥˋ ㄈㄛˊ,ㄍㄨㄥ ㄈㄛˊ,供:ㄍㄨㄥ→ㄍㄨㄥˋ(IVS+1),IVS可修,
供奉,ㄍㄨㄥˋ ㄈㄥˋ,ㄍㄨㄥ ㄈㄥˋ,供:ㄍㄨㄥ→ㄍㄨㄥˋ(IVS+1),IVS可修,
供桌,ㄍㄨㄥˋ ㄓㄨㄛ,ㄍㄨㄥ ㄓㄨㄛ,供:ㄍㄨㄥ→ㄍㄨㄥˋ(IVS+1),IVS可修,
供養,ㄍㄨㄥˋ ㄧㄤˋ,ㄍㄨㄥ ㄧㄤˇ,供:ㄍㄨㄥ→ㄍㄨㄥˋ(IVS+1); 養:ㄧㄤˇ→ㄧㄤˋ(IVS+1),IVS可修,
咯血,ㄎㄚˇ ㄒㄧㄝˇ,˙ㄌㄛ ㄒㄧㄝˇ,咯:˙ㄌㄛ→ㄎㄚˇ(IVS+2),IVS可修,
科長,ㄎㄜ ㄓㄤˇ,ㄎㄜ ㄔㄤˊ,長:ㄔㄤˊ→ㄓㄤˇ(IVS+1),IVS可修,
可惡,ㄎㄜˇ ㄨˋ,ㄎㄜˇ ㄜˋ,惡:ㄜˋ→ㄨˋ(IVS+1),IVS可修,
可汗,ㄎㄜˋ ㄏㄢˊ,ㄎㄜˇ ㄏㄢˋ,可:ㄎㄜˇ→ㄎㄜˋ(IVS+1); 汗:ㄏㄢˋ→ㄏㄢˊ(IVS+1),IVS可修,
課長,ㄎㄜˋ ㄓㄤˇ,ㄎㄜˋ ㄔㄤˊ,長:ㄔㄤˊ→ㄓㄤˇ(IVS+1),IVS可修,
開發銀行,ㄎㄞ ㄈㄚ ㄧㄣˊ ㄏㄤˊ,ㄎㄞ ㄈㄚ ㄧㄣˊ ㄒㄧㄥˊ,行:ㄒㄧㄥˊ→ㄏㄤˊ(IVS+1),IVS可修,
開小差,ㄎㄞ ㄒㄧㄠˇ ㄔㄞ,ㄎㄞ ㄒㄧㄠˇ ㄔㄚ,差:ㄔㄚ→ㄔㄞ(IVS+1),IVS可修,
剴切,ㄎㄞˇ ㄑㄧㄝˋ,ㄎㄞˇ ㄑㄧㄝ,切:ㄑㄧㄝ→ㄑㄧㄝˋ(IVS+1),IVS可修,
考量,ㄎㄠˇ ㄌㄧㄤˊ,ㄎㄠˇ ㄌㄧㄤˋ,量:ㄌㄧㄤˋ→ㄌㄧㄤˊ(IVS+1),IVS可修,
靠得住,ㄎㄠˋ ˙ㄉㄜ ㄓㄨˋ,ㄎㄠˋ ㄉㄜˊ ㄓㄨˋ,得:ㄉㄜˊ→˙ㄉㄜ(IVS+1),IVS可修,
口吃,ㄎㄡˇ ㄐㄧˊ,ㄎㄡˇ ㄔ,吃:ㄔ→ㄐㄧˊ(IVS+1),IVS可修,
口才辨給,ㄎㄡˇ ㄘㄞˊ ㄅㄧㄢˋ ㄐㄧˇ,ㄎㄡˇ ㄘㄞˊ ㄅㄧㄢˋ ㄍㄟˇ,給:ㄍㄟˇ→ㄐㄧˇ(IVS+1),IVS可修,
叩應,ㄎㄡˋ ㄧㄥˋ,ㄎㄡˋ ㄧㄥ,應:ㄧㄥ→ㄧㄥˋ(IVS+1),IVS可修,
扣帽子,ㄎㄡˋ ㄇㄠˋ ˙ㄗ,ㄎㄡˋ ㄇㄠˋ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
扣子,ㄎㄡˋ ˙ㄗ,ㄎㄡˋ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
釦子,ㄎㄡˋ ˙ㄗ,ㄎㄡˋ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
看門,ㄎㄢ ㄇㄣˊ,ㄎㄢˋ ㄇㄣˊ,看:ㄎㄢˋ→ㄎㄢ(IVS+1),IVS可修,
看顧,ㄎㄢ ㄍㄨˋ,ㄎㄢˋ ㄍㄨˋ,看:ㄎㄢˋ→ㄎㄢ(IVS+1),IVS可修,
看管,ㄎㄢ ㄍㄨㄢˇ,ㄎㄢˋ ㄍㄨㄢˇ,看:ㄎㄢˋ→ㄎㄢ(IVS+1),IVS可修,
看護,ㄎㄢ ㄏㄨˋ,ㄎㄢˋ ㄏㄨˋ,看:ㄎㄢˋ→ㄎㄢ(IVS+1),IVS可修,
看家,ㄎㄢ ㄐㄧㄚ,ㄎㄢˋ ㄐㄧㄚ,看:ㄎㄢˋ→ㄎㄢ(IVS+1),IVS可修,
看家本領,ㄎㄢ ㄐㄧㄚ ㄅㄣˇ ㄌㄧㄥˇ,ㄎㄢˋ ㄐㄧㄚ ㄅㄣˇ ㄌㄧㄥˇ,看:ㄎㄢˋ→ㄎㄢ(IVS+1),IVS可修,
看守,ㄎㄢ ㄕㄡˇ,ㄎㄢˋ ㄕㄡˇ,看:ㄎㄢˋ→ㄎㄢ(IVS+1),IVS可修,
看守所,ㄎㄢ ㄕㄡˇ ㄙㄨㄛˇ,ㄎㄢˋ ㄕㄡˇ ㄙㄨㄛˇ,看:ㄎㄢˋ→ㄎㄢ(IVS+1),IVS可修,
看得開,ㄎㄢˋ ˙ㄉㄜ ㄎㄞ,ㄎㄢˋ ㄉㄜˊ ㄎㄞ,得:ㄉㄜˊ→˙ㄉㄜ(IVS+1),IVS可修,
看得起,ㄎㄢˋ ˙ㄉㄜ ㄑㄧˇ,ㄎㄢˋ ㄉㄜˊ ㄑㄧˇ,得:ㄉㄜˊ→˙ㄉㄜ(IVS+1),IVS可修,
看頭,ㄎㄢˋ ˙ㄊㄡ,ㄎㄢˋ ㄊㄡˊ,頭:ㄊㄡˊ→˙ㄊㄡ(IVS+1),IVS可修,
看中,ㄎㄢˋ ㄓㄨㄥˋ,ㄎㄢˋ ㄓㄨㄥ,中:ㄓㄨㄥ→ㄓㄨㄥˋ(IVS+1),IVS可修,
看樣子,ㄎㄢˋ ㄧㄤˋ ˙ㄗ,ㄎㄢˋ ㄧㄤˋ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
懇切,ㄎㄣˇ ㄑㄧㄝˋ,ㄎㄣˇ ㄑㄧㄝ,切:ㄑㄧㄝ→ㄑㄧㄝˋ(IVS+1),IVS可修,
苦悶,ㄎㄨˇ ㄇㄣˋ,ㄎㄨˇ ㄇㄣ,悶:ㄇㄣ→ㄇㄣˋ(IVS+1),IVS可修,
苦頭,ㄎㄨˇ ˙ㄊㄡ,ㄎㄨˇ ㄊㄡˊ,頭:ㄊㄡˊ→˙ㄊㄡ(IVS+1),IVS可修,
苦難,ㄎㄨˇ ㄋㄢˋ,ㄎㄨˇ ㄋㄢˊ,難:ㄋㄢˊ→ㄋㄢˋ(IVS+1),IVS可修,
苦苦相逼,ㄎㄨˇ ㄎㄨˇ ㄒㄧㄤ ㄅㄧ,ㄎㄨˇ ㄎㄨˇ ㄒㄧㄤˋ ㄅㄧ,相:ㄒㄧㄤˋ→ㄒㄧㄤ(IVS+1),IVS可修,
苦處,ㄎㄨˇ ㄔㄨˋ,ㄎㄨˇ ㄔㄨˇ,處:ㄔㄨˇ→ㄔㄨˋ(IVS+1),IVS可修,
苦日子,ㄎㄨˇ ㄖˋ ˙ㄗ,ㄎㄨˇ ㄖˋ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
跨行,ㄎㄨㄚˋ ㄏㄤˊ,ㄎㄨㄚˋ ㄒㄧㄥˊ,行:ㄒㄧㄥˊ→ㄏㄤˊ(IVS+1),IVS可修,
括約肌,ㄎㄨㄛˋ ㄩㄝ ㄐㄧ,ㄍㄨㄚ ㄩㄝ ㄐㄧ,括:ㄍㄨㄚ→ㄎㄨㄛˋ(IVS+1),IVS可修,
闊少,ㄎㄨㄛˋ ㄕㄠˋ,ㄎㄨㄛˋ ㄕㄠˇ,少:ㄕㄠˇ→ㄕㄠˋ(IVS+1),IVS可修,
筷子,ㄎㄨㄞˋ ˙ㄗ,ㄎㄨㄞˋ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
會計,ㄎㄨㄞˋ ㄐㄧˋ,ㄏㄨㄟˋ ㄐㄧˋ,會:ㄏㄨㄟˋ→ㄎㄨㄞˋ(IVS+1),IVS可修,
會計年度,ㄎㄨㄞˋ ㄐㄧˋ ㄋㄧㄢˊ ㄉㄨˋ,ㄏㄨㄟˋ ㄐㄧˋ ㄋㄧㄢˊ ㄉㄨˋ,會:ㄏㄨㄟˋ→ㄎㄨㄞˋ(IVS+1),IVS可修,
會計師,ㄎㄨㄞˋ ㄐㄧˋ ㄕ,ㄏㄨㄟˋ ㄐㄧˋ ㄕ,會:ㄏㄨㄟˋ→ㄎㄨㄞˋ(IVS+1),IVS可修,
劊子手,ㄎㄨㄞˋ ˙ㄗ ㄕㄡˇ,ㄎㄨㄞˋ ㄗˇ ㄕㄡˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
虧空,ㄎㄨㄟ ㄎㄨㄥˋ,ㄎㄨㄟ ㄎㄨㄥ,空:ㄎㄨㄥ→ㄎㄨㄥˋ(IVS+1),IVS可修,
款曲,ㄎㄨㄢˇ ㄑㄩ,ㄎㄨㄢˇ ㄑㄩˇ,曲:ㄑㄩˇ→ㄑㄩ(IVS+1),IVS可修,
混夷,ㄎㄨㄣ ㄧˊ,ㄏㄨㄣˋ ㄧˊ,混:ㄏㄨㄣˋ→ㄎㄨㄣ(IVS+2),IVS可修,
空難,ㄎㄨㄥ ㄋㄢˋ,ㄎㄨㄥ ㄋㄢˊ,難:ㄋㄢˊ→ㄋㄢˋ(IVS+1),IVS可修,
空架子,ㄎㄨㄥ ㄐㄧㄚˋ ˙ㄗ,ㄎㄨㄥ ㄐㄧㄚˋ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
崆峒山,ㄎㄨㄥ ㄊㄨㄥˊ ㄕㄢ,ㄎㄨㄥ ㄉㄨㄥˋ ㄕㄢ,峒:ㄉㄨㄥˋ→ㄊㄨㄥˊ(IVS+1),IVS可修,
恐怖分子,ㄎㄨㄥˇ ㄅㄨˋ ㄈㄣˋ ㄗˇ,ㄎㄨㄥˇ ㄅㄨˋ ㄈㄣ ㄗˇ,分:ㄈㄣ→ㄈㄣˋ(IVS+1),IVS可修,
恐嚇,ㄎㄨㄥˇ ㄏㄜˋ,ㄎㄨㄥˇ ㄒㄧㄚˋ,嚇:ㄒㄧㄚˋ→ㄏㄜˋ(IVS+1),IVS可修,
倥傯,ㄎㄨㄥˇ ㄗㄨㄥˇ,ㄎㄨㄥ ㄗㄨㄥˇ,倥:ㄎㄨㄥ→ㄎㄨㄥˇ(IVS+1),IVS可修,
空白,ㄎㄨㄥˋ ㄅㄞˊ,ㄎㄨㄥ ㄅㄞˊ,空:ㄎㄨㄥ→ㄎㄨㄥˋ(IVS+1),IVS可修,
空地,ㄎㄨㄥˋ ㄉㄧˋ,ㄎㄨㄥ ㄉㄧˋ,空:ㄎㄨㄥ→ㄎㄨㄥˋ(IVS+1),IVS可修,
空地稅,ㄎㄨㄥˋ ㄉㄧˋ ㄕㄨㄟˋ,ㄎㄨㄥ ㄉㄧˋ ㄕㄨㄟˋ,空:ㄎㄨㄥ→ㄎㄨㄥˋ(IVS+1),IVS可修,
空頭,ㄎㄨㄥˋ ㄊㄡˊ,ㄎㄨㄥ ㄊㄡˊ,空:ㄎㄨㄥ→ㄎㄨㄥˋ(IVS+1),IVS可修,
空頭支票,ㄎㄨㄥˋ ㄊㄡˊ ㄓ ㄆㄧㄠˋ,ㄎㄨㄥ ㄊㄡˊ ㄓ ㄆㄧㄠˋ,空:ㄎㄨㄥ→ㄎㄨㄥˋ(IVS+1),IVS可修,
空缺,ㄎㄨㄥˋ ㄑㄩㄝ,ㄎㄨㄥ ㄑㄩㄝ,空:ㄎㄨㄥ→ㄎㄨㄥˋ(IVS+1),IVS可修,
空隙,ㄎㄨㄥˋ ㄒㄧˋ,ㄎㄨㄥ ㄒㄧˋ,空:ㄎㄨㄥ→ㄎㄨㄥˋ(IVS+1),IVS可修,
空閒,ㄎㄨㄥˋ ㄒㄧㄢˊ,ㄎㄨㄥ ㄒㄧㄢˊ,空:ㄎㄨㄥ→ㄎㄨㄥˋ(IVS+1),IVS可修,
空額,ㄎㄨㄥˋ ㄜˊ,ㄎㄨㄥ ㄜˊ,空:ㄎㄨㄥ→ㄎㄨㄥˋ(IVS+1),IVS可修,
空位,ㄎㄨㄥˋ ㄨㄟˋ,ㄎㄨㄥ ㄨㄟˋ,空:ㄎㄨㄥ→ㄎㄨㄥˋ(IVS+1),IVS可修,
哈囉,ㄏㄚ ㄌㄨㄛˊ,ㄏㄚ ㄌㄨㄛ,囉:ㄌㄨㄛ→ㄌㄨㄛˊ(IVS+1),IVS可修,
蛤蟆,ㄏㄚˊ ㄇㄚˊ,ㄍㄜˊ ㄇㄚˊ,蛤:ㄍㄜˊ→ㄏㄚˊ(IVS+1),IVS可修,
蝦蟆,ㄏㄚˊ ㄇㄚˊ,ㄒㄧㄚ ㄇㄚˊ,蝦:ㄒㄧㄚ→ㄏㄚˊ(IVS+1),IVS可修,
哈巴狗,ㄏㄚˇ ㄅㄚ ㄍㄡˇ,ㄏㄚ ㄅㄚ ㄍㄡˇ,哈:ㄏㄚ→ㄏㄚˇ(IVS+1),IVS可修,
合成樂器,ㄏㄜˊ ㄔㄥˊ ㄩㄝˋ ㄑㄧˋ,ㄏㄜˊ ㄔㄥˊ ㄌㄜˋ ㄑㄧˋ,樂:ㄌㄜˋ→ㄩㄝˋ(IVS+1),IVS可修,
合作無間,ㄏㄜˊ ㄗㄨㄛˋ ㄨˊ ㄐㄧㄢˋ,ㄏㄜˊ ㄗㄨㄛˋ ㄨˊ ㄐㄧㄢ,間:ㄐㄧㄢ→ㄐㄧㄢˋ(IVS+1),IVS可修,
合縱,ㄏㄜˊ ㄗㄨㄥ,ㄏㄜˊ ㄗㄨㄥˋ,縱:ㄗㄨㄥˋ→ㄗㄨㄥ(IVS+1),IVS可修,
盒子,ㄏㄜˊ ˙ㄗ,ㄏㄜˊ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
何處,ㄏㄜˊ ㄔㄨˋ,ㄏㄜˊ ㄔㄨˇ,處:ㄔㄨˇ→ㄔㄨˋ(IVS+1),IVS可修,
何以見得,ㄏㄜˊ ㄧˇ ㄐㄧㄢˋ ˙ㄉㄜ,ㄏㄜˊ ㄧˇ ㄐㄧㄢˋ ㄉㄜˊ,得:ㄉㄜˊ→˙ㄉㄜ(IVS+1),IVS可修,
荷槍實彈,ㄏㄜˋ ㄑㄧㄤ ㄕˊ ㄉㄢˋ,ㄏㄜˊ ㄑㄧㄤ ㄕˊ ㄉㄢˋ,荷:ㄏㄜˊ→ㄏㄜˋ(IVS+1),IVS可修,
荷鋤,ㄏㄜˋ ㄔㄨˊ,ㄏㄜˊ ㄔㄨˊ,荷:ㄏㄜˊ→ㄏㄜˋ(IVS+1),IVS可修,
喝倒采,ㄏㄜˋ ㄉㄠˋ ㄘㄞˇ,ㄏㄜ ㄉㄠˋ ㄘㄞˇ,喝:ㄏㄜ→ㄏㄜˋ(IVS+1),IVS可修,
喝令,ㄏㄜˋ ㄌㄧㄥˋ,ㄏㄜ ㄌㄧㄥˋ,喝:ㄏㄜ→ㄏㄜˋ(IVS+1),IVS可修,
喝止,ㄏㄜˋ ㄓˇ,ㄏㄜ ㄓˇ,喝:ㄏㄜ→ㄏㄜˋ(IVS+1),IVS可修,
喝斥,ㄏㄜˋ ㄔˋ,ㄏㄜ ㄔˋ,喝:ㄏㄜ→ㄏㄜˋ(IVS+1),IVS可修,
喝采,ㄏㄜˋ ㄘㄞˇ,ㄏㄜ ㄘㄞˇ,喝:ㄏㄜ→ㄏㄜˋ(IVS+1),IVS可修,
嚇阻,ㄏㄜˋ ㄗㄨˇ,ㄒㄧㄚˋ ㄗㄨˇ,嚇:ㄒㄧㄚˋ→ㄏㄜˋ(IVS+1),IVS可修,
咳聲嘆息,ㄏㄞ ㄕㄥ ㄊㄢˋ ㄒㄧˊ,ㄎㄜˊ ㄕㄥ ㄊㄢˋ ㄒㄧˊ,咳:ㄎㄜˊ→ㄏㄞ(IVS+1),IVS可修,
孩子,ㄏㄞˊ ˙ㄗ,ㄏㄞˊ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
孩子氣,ㄏㄞˊ ˙ㄗ ㄑㄧˋ,ㄏㄞˊ ㄗˇ ㄑㄧˋ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
海難,ㄏㄞˇ ㄋㄢˋ,ㄏㄞˇ ㄋㄢˊ,難:ㄋㄢˊ→ㄋㄢˋ(IVS+1),IVS可修,
海參,ㄏㄞˇ ㄕㄣ,ㄏㄞˇ ㄘㄢ,參:ㄘㄢ→ㄕㄣ(IVS+1),IVS可修,
害處,ㄏㄞˋ ㄔㄨˋ,ㄏㄞˋ ㄔㄨˇ,處:ㄔㄨˇ→ㄔㄨˋ(IVS+1),IVS可修,
黑白顛倒,ㄏㄟ ㄅㄞˊ ㄉㄧㄢ ㄉㄠˇ,ㄏㄟ ㄅㄞˊ ㄉㄧㄢ ㄉㄠˋ,倒:ㄉㄠˋ→ㄉㄠˇ(IVS+1),IVS可修,
黑盒子,ㄏㄟ ㄏㄜˊ ˙ㄗ,ㄏㄟ ㄏㄜˊ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
號啕大哭,ㄏㄠˊ ㄊㄠˊ ㄉㄚˋ ㄎㄨ,ㄏㄠˋ ㄊㄠˊ ㄉㄚˋ ㄎㄨ,號:ㄏㄠˋ→ㄏㄠˊ(IVS+1),IVS可修,
好處,ㄏㄠˇ ㄔㄨˋ,ㄏㄠˇ ㄔㄨˇ,處:ㄔㄨˇ→ㄔㄨˋ(IVS+1),IVS可修,
好意思,ㄏㄠˇ ㄧˋ ˙ㄙ,ㄏㄠˇ ㄧˋ ㄙ,思:ㄙ→˙ㄙ(IVS+2),IVS可修,
好大喜功,ㄏㄠˋ ㄉㄚˋ ㄒㄧˇ ㄍㄨㄥ,ㄏㄠˇ ㄉㄚˋ ㄒㄧˇ ㄍㄨㄥ,好:ㄏㄠˇ→ㄏㄠˋ(IVS+1),IVS可修,
好高騖遠,ㄏㄠˋ ㄍㄠ ㄨˋ ㄩㄢˇ,ㄏㄠˇ ㄍㄠ ㄨˋ ㄩㄢˇ,好:ㄏㄠˇ→ㄏㄠˋ(IVS+1),IVS可修,
好客,ㄏㄠˋ ㄎㄜˋ,ㄏㄠˇ ㄎㄜˋ,好:ㄏㄠˇ→ㄏㄠˋ(IVS+1),IVS可修,
好奇,ㄏㄠˋ ㄑㄧˊ,ㄏㄠˇ ㄑㄧˊ,好:ㄏㄠˇ→ㄏㄠˋ(IVS+1),IVS可修,
好強,ㄏㄠˋ ㄑㄧㄤˊ,ㄏㄠˇ ㄑㄧㄤˊ,好:ㄏㄠˇ→ㄏㄠˋ(IVS+1),IVS可修,
好學不倦,ㄏㄠˋ ㄒㄩㄝˊ ㄅㄨˋ ㄐㄩㄢˋ,ㄏㄠˇ ㄒㄩㄝˊ ㄅㄨˋ ㄐㄩㄢˋ,好:ㄏㄠˇ→ㄏㄠˋ(IVS+1),IVS可修,
好學專輯,ㄏㄠˋ ㄒㄩㄝˊ ㄓㄨㄢ ㄐㄧˊ,ㄏㄠˇ ㄒㄩㄝˊ ㄓㄨㄢ ㄐㄧˊ,好:ㄏㄠˇ→ㄏㄠˋ(IVS+1),IVS可修,
好整以暇,ㄏㄠˋ ㄓㄥˇ ㄧˇ ㄒㄧㄚˊ,ㄏㄠˇ ㄓㄥˇ ㄧˇ ㄒㄧㄚˊ,好:ㄏㄠˇ→ㄏㄠˋ(IVS+1),IVS可修,
好吃懶做,ㄏㄠˋ ㄔ ㄌㄢˇ ㄗㄨㄛˋ,ㄏㄠˇ ㄔ ㄌㄢˇ ㄗㄨㄛˋ,好:ㄏㄠˇ→ㄏㄠˋ(IVS+1),IVS可修,
