詞目,簡編本注音一式,字型目前顯示,插碼後字串,碼點,哪個字用第幾讀音,備註
配角,ㄆㄟˋ ㄐㄩㄝˊ,ㄆㄟˋ ㄐㄧㄠˇ,配角󠇡,U+914D U+89D2 U+E01E1,角:IVS+1,
配樂,ㄆㄟˋ ㄩㄝˋ,ㄆㄟˋ ㄌㄜˋ,配樂󠇡,U+914D U+6A02 U+E01E1,樂:IVS+1,
拋頭露面,ㄆㄠ ㄊㄡˊ ㄌㄡˋ ㄇㄧㄢˋ,ㄆㄠ ㄊㄡˊ ㄌㄨˋ ㄇㄧㄢˋ,拋頭露󠇡面,U+62CB U+982D U+9732 U+E01E1 U+9762,露:IVS+1,
炮製,ㄆㄠˊ ㄓˋ,ㄆㄠˋ ㄓˋ,炮󠇡製,U+70AE U+E01E1 U+88FD,炮:IVS+1,
袍子,ㄆㄠˊ ˙ㄗ,ㄆㄠˊ ㄗˇ,袍子󠇡,U+888D U+5B50 U+E01E1,子:IVS+1,
番禺縣,ㄆㄢ ㄩˊ ㄒㄧㄢˋ,ㄈㄢ ㄩˊ ㄒㄧㄢˋ,番󠇡禺縣,U+756A U+E01E1 U+79BA U+7E23,番:IVS+1,
般桓,ㄆㄢˊ ㄏㄨㄢˊ,ㄅㄢ ㄏㄨㄢˊ,般󠇢桓,U+822C U+E01E2 U+6853,般:IVS+2,
磅礴,ㄆㄤ ㄅㄛˊ,ㄅㄤˋ ㄅㄛˊ,磅󠇡礴,U+78C5 U+E01E1 U+7934,磅:IVS+1,
膀胱,ㄆㄤˊ ㄍㄨㄤ,ㄅㄤˇ ㄍㄨㄤ,膀󠇡胱,U+8180 U+E01E1 U+80F1,膀:IVS+1,
澎湃,ㄆㄥ ㄆㄞˋ,ㄆㄥˊ ㄆㄞˋ,澎󠇡湃,U+6F8E U+E01E1 U+6E43,澎:IVS+1,
朋比為奸,ㄆㄥˊ ㄅㄧˋ ㄨㄟˊ ㄐㄧㄢ,ㄆㄥˊ ㄅㄧˇ ㄨㄟˊ ㄐㄧㄢ,朋比󠇡為奸,U+670B U+6BD4 U+E01E1 U+70BA U+5978,比:IVS+1,
碰釘子,ㄆㄥˋ ㄉㄧㄥ ˙ㄗ,ㄆㄥˋ ㄉㄧㄥ ㄗˇ,碰釘子󠇡,U+78B0 U+91D8 U+5B50 U+E01E1,子:IVS+1,
匹配,ㄆㄧˇ ㄆㄟˋ,ㄆㄧ ㄆㄟˋ,匹󠇡配,U+5339 U+E01E1 U+914D,匹:IVS+1,
匹夫,ㄆㄧˇ ㄈㄨ,ㄆㄧ ㄈㄨ,匹󠇡夫,U+5339 U+E01E1 U+592B,匹:IVS+1,
匹夫匹婦,ㄆㄧˇ ㄈㄨ ㄆㄧˇ ㄈㄨˋ,ㄆㄧ ㄈㄨ ㄆㄧ ㄈㄨˋ,匹󠇡夫匹󠇡婦,U+5339 U+E01E1 U+592B U+5339 U+E01E1 U+5A66,匹:IVS+1; 匹:IVS+1,
匹夫之勇,ㄆㄧˇ ㄈㄨ ㄓ ㄩㄥˇ,ㄆㄧ ㄈㄨ ㄓ ㄩㄥˇ,匹󠇡夫之勇,U+5339 U+E01E1 U+592B U+4E4B U+52C7,匹:IVS+1,
匹敵,ㄆㄧˇ ㄉㄧˊ,ㄆㄧ ㄉㄧˊ,匹󠇡敵,U+5339 U+E01E1 U+6575,匹:IVS+1,
否極泰來,ㄆㄧˇ ㄐㄧˊ ㄊㄞˋ ㄌㄞˊ,ㄈㄡˇ ㄐㄧˊ ㄊㄞˋ ㄌㄞˊ,否󠇡極泰來,U+5426 U+E01E1 U+6975 U+6CF0 U+4F86,否:IVS+1,
痞子,ㄆㄧˇ ˙ㄗ,ㄆㄧˇ ㄗˇ,痞子󠇡,U+75DE U+5B50 U+E01E1,子:IVS+1,
癖好,ㄆㄧˇ ㄏㄠˋ,ㄆㄧˇ ㄏㄠˇ,癖好󠇡,U+7656 U+597D U+E01E1,好:IVS+1,
撇開,ㄆㄧㄝ ㄎㄞ,ㄆㄧㄝˇ ㄎㄞ,撇󠇡開,U+6487 U+E01E1 U+958B,撇:IVS+1,
撇清,ㄆㄧㄝ ㄑㄧㄥ,ㄆㄧㄝˇ ㄑㄧㄥ,撇󠇡清,U+6487 U+E01E1 U+6E05,撇:IVS+1,
撇下,ㄆㄧㄝ ㄒㄧㄚˋ,ㄆㄧㄝˇ ㄒㄧㄚˋ,撇󠇡下,U+6487 U+E01E1 U+4E0B,撇:IVS+1,
漂泊,ㄆㄧㄠ ㄅㄛˊ,ㄆㄧㄠˋ ㄅㄛˊ,漂󠇡泊,U+6F02 U+E01E1 U+6CCA,漂:IVS+1,
漂萍,ㄆㄧㄠ ㄆㄧㄥˊ,ㄆㄧㄠˋ ㄆㄧㄥˊ,漂󠇡萍,U+6F02 U+E01E1 U+840D,漂:IVS+1,
漂浮,ㄆㄧㄠ ㄈㄨˊ,ㄆㄧㄠˋ ㄈㄨˊ,漂󠇡浮,U+6F02 U+E01E1 U+6D6E,漂:IVS+1,
漂流,ㄆㄧㄠ ㄌㄧㄡˊ,ㄆㄧㄠˋ ㄌㄧㄡˊ,漂󠇡流,U+6F02 U+E01E1 U+6D41,漂:IVS+1,
漂送,ㄆㄧㄠ ㄙㄨㄥˋ,ㄆㄧㄠˋ ㄙㄨㄥˋ,漂󠇡送,U+6F02 U+E01E1 U+9001,漂:IVS+1,
漂白,ㄆㄧㄠˇ ㄅㄞˊ,ㄆㄧㄠˋ ㄅㄞˊ,漂󠇢白,U+6F02 U+E01E2 U+767D,漂:IVS+2,
漂白粉,ㄆㄧㄠˇ ㄅㄞˊ ㄈㄣˇ,ㄆㄧㄠˋ ㄅㄞˊ ㄈㄣˇ,漂󠇢白粉,U+6F02 U+E01E2 U+767D U+7C89,漂:IVS+2,
偏好,ㄆㄧㄢ ㄏㄠˋ,ㄆㄧㄢ ㄏㄠˇ,偏好󠇡,U+504F U+597D U+E01E1,好:IVS+1,
篇兒,ㄆㄧㄢ ㄦ,ㄆㄧㄢ ㄦˊ,篇兒󠇡,U+7BC7 U+5152 U+E01E1,兒:IVS+1,
便便,ㄆㄧㄢˊ ㄆㄧㄢˊ,ㄅㄧㄢˋ ㄅㄧㄢˋ,便󠇡便󠇡,U+4FBF U+E01E1 U+4FBF U+E01E1,便:IVS+1; 便:IVS+1,
片子,ㄆㄧㄢˋ ˙ㄗ,ㄆㄧㄢˋ ㄗˇ,片子󠇡,U+7247 U+5B50 U+E01E1,子:IVS+1,
騙子,ㄆㄧㄢˋ ˙ㄗ,ㄆㄧㄢˋ ㄗˇ,騙子󠇡,U+9A19 U+5B50 U+E01E1,子:IVS+1,
品行,ㄆㄧㄣˇ ㄒㄧㄥˋ,ㄆㄧㄣˇ ㄒㄧㄥˊ,品行󠇢,U+54C1 U+884C U+E01E2,行:IVS+2,
評量,ㄆㄧㄥˊ ㄌㄧㄤˊ,ㄆㄧㄥˊ ㄌㄧㄤˋ,評量󠇡,U+8A55 U+91CF U+E01E1,量:IVS+1,
評傳,ㄆㄧㄥˊ ㄓㄨㄢˋ,ㄆㄧㄥˊ ㄔㄨㄢˊ,評傳󠇡,U+8A55 U+50B3 U+E01E1,傳:IVS+1,
萍水相逢,ㄆㄧㄥˊ ㄕㄨㄟˇ ㄒㄧㄤ ㄈㄥˊ,ㄆㄧㄥˊ ㄕㄨㄟˇ ㄒㄧㄤˋ ㄈㄥˊ,萍水相󠇡逢,U+840D U+6C34 U+76F8 U+E01E1 U+9022,相:IVS+1,
暴露,ㄆㄨˋ ㄌㄨˋ,ㄅㄠˋ ㄌㄨˋ,暴󠇡露,U+66B4 U+E01E1 U+9732,暴:IVS+1,
鋪子,ㄆㄨˋ ˙ㄗ,ㄆㄨ ㄗˇ,鋪󠇡子󠇡,U+92EA U+E01E1 U+5B50 U+E01E1,鋪:IVS+1; 子:IVS+1,
鋪位,ㄆㄨˋ ㄨㄟˋ,ㄆㄨ ㄨㄟˋ,鋪󠇡位,U+92EA U+E01E1 U+4F4D,鋪:IVS+1,
媽媽,ㄇㄚ ˙ㄇㄚ,ㄇㄚ ㄇㄚ,媽媽󠇡,U+5ABD U+5ABD U+E01E1,媽:IVS+1,
嬤嬤,ㄇㄚ ˙ㄇㄚ,ㄇㄚ ㄇㄚ,嬤嬤󠇡,U+5B24 U+5B24 U+E01E1,嬤:IVS+1,
麻將,ㄇㄚˊ ㄐㄧㄤˋ,ㄇㄚˊ ㄐㄧㄤ,麻將󠇡,U+9EBB U+5C07 U+E01E1,將:IVS+1,
麻子,ㄇㄚˊ ˙ㄗ,ㄇㄚˊ ㄗˇ,麻子󠇡,U+9EBB U+5B50 U+E01E1,子:IVS+1,
馬馬虎虎,ㄇㄚˇ ㄇㄚˇ ㄏㄨ ㄏㄨ,ㄇㄚˇ ㄇㄚˇ ㄏㄨˇ ㄏㄨˇ,馬馬虎󠇡虎󠇡,U+99AC U+99AC U+864E U+E01E1 U+864E U+E01E1,虎:IVS+1; 虎:IVS+1,
馬虎,ㄇㄚˇ ㄏㄨ,ㄇㄚˇ ㄏㄨˇ,馬虎󠇡,U+99AC U+864E U+E01E1,虎:IVS+1,
嗎啡,ㄇㄚˇ ㄈㄟ,˙ㄇㄚ ㄈㄟ,嗎󠇡啡,U+55CE U+E01E1 U+5561,嗎:IVS+1,
碼頭,ㄇㄚˇ ˙ㄊㄡ,ㄇㄚˇ ㄊㄡˊ,碼頭󠇡,U+78BC U+982D U+E01E1,頭:IVS+1,
碼子,ㄇㄚˇ ˙ㄗ,ㄇㄚˇ ㄗˇ,碼子󠇡,U+78BC U+5B50 U+E01E1,子:IVS+1,
螞蚱,ㄇㄚˋ ㄓㄚˋ,ㄇㄚˇ ㄓㄚˋ,螞󠇡蚱,U+879E U+E01E1 U+86B1,螞:IVS+1,
摸不著,ㄇㄛ ㄅㄨˋ ㄓㄠˊ,ㄇㄛ ㄅㄨˋ ˙ㄓㄜ,摸不著󠇣,U+6478 U+4E0D U+8457 U+E01E3,著:IVS+3,
磨難,ㄇㄛˊ ㄋㄢˋ,ㄇㄛˊ ㄋㄢˊ,磨難󠇡,U+78E8 U+96E3 U+E01E1,難:IVS+1,
魔爪,ㄇㄛˊ ㄓㄠˇ,ㄇㄛˊ ㄓㄨㄚˇ,魔爪󠇡,U+9B54 U+722A U+E01E1,爪:IVS+1,
模子,ㄇㄛˊ ˙ㄗ,ㄇㄛˊ ㄗˇ,模子󠇡,U+6A21 U+5B50 U+E01E1,子:IVS+1,
抹煞,ㄇㄛˇ ㄕㄚ,ㄇㄛˇ ㄕㄚˋ,抹煞󠇡,U+62B9 U+715E U+E01E1,煞:IVS+1,
万俟,ㄇㄛˋ ㄑㄧˊ,ㄇㄛˋ ㄙˋ,万俟󠇡,U+4E07 U+4FDF U+E01E1,俟:IVS+1,
末了,ㄇㄛˋ ㄌㄧㄠˇ,ㄇㄛˋ ˙ㄌㄜ,末了󠇡,U+672B U+4E86 U+E01E1,了:IVS+1,
沒沒無聞,ㄇㄛˋ ㄇㄛˋ ㄨˊ ㄨㄣˊ,ㄇㄟˊ ㄇㄟˊ ㄨˊ ㄨㄣˊ,沒󠇡沒󠇡無聞,U+6C92 U+E01E1 U+6C92 U+E01E1 U+7121 U+805E,沒:IVS+1; 沒:IVS+1,
沒奈何,ㄇㄛˋ ㄋㄞˋ ㄏㄜˊ,ㄇㄟˊ ㄋㄞˋ ㄏㄜˊ,沒󠇡奈何,U+6C92 U+E01E1 U+5948 U+4F55,沒:IVS+1,
沒落,ㄇㄛˋ ㄌㄨㄛˋ,ㄇㄟˊ ㄌㄨㄛˋ,沒󠇡落,U+6C92 U+E01E1 U+843D,沒:IVS+1,
沒齒難忘,ㄇㄛˋ ㄔˇ ㄋㄢˊ ㄨㄤˋ,ㄇㄟˊ ㄔˇ ㄋㄢˊ ㄨㄤˋ,沒󠇡齒難忘,U+6C92 U+E01E1 U+9F52 U+96E3 U+5FD8,沒:IVS+1,
沒收,ㄇㄛˋ ㄕㄡ,ㄇㄟˊ ㄕㄡ,沒󠇡收,U+6C92 U+E01E1 U+6536,沒:IVS+1,
冒頓,ㄇㄛˋ ㄉㄨˊ,ㄇㄠˋ ㄉㄨㄣˋ,冒󠇡頓󠇡,U+5192 U+E01E1 U+9813 U+E01E1,冒:IVS+1; 頓:IVS+1,
脈脈,ㄇㄛˋ ㄇㄛˋ,ㄇㄞˋ ㄇㄞˋ,脈󠇡脈󠇡,U+8108 U+E01E1 U+8108 U+E01E1,脈:IVS+1; 脈:IVS+1,
磨盤,ㄇㄛˋ ㄆㄢˊ,ㄇㄛˊ ㄆㄢˊ,磨󠇡盤,U+78E8 U+E01E1 U+76E4,磨:IVS+1,
磨坊,ㄇㄛˋ ㄈㄤ,ㄇㄛˊ ㄈㄤ,磨󠇡坊,U+78E8 U+E01E1 U+574A,磨:IVS+1,
埋沒,ㄇㄞˊ ㄇㄛˋ,ㄇㄞˊ ㄇㄟˊ,埋沒󠇡,U+57CB U+6C92 U+E01E1,沒:IVS+1,
買櫝還珠,ㄇㄞˇ ㄉㄨˊ ㄏㄨㄢˊ ㄓㄨ,ㄇㄞˇ ㄉㄨˊ ㄏㄞˊ ㄓㄨ,買櫝還󠇡珠,U+8CB7 U+6ADD U+9084 U+E01E1 U+73E0,還:IVS+1,
麥子,ㄇㄞˋ ˙ㄗ,ㄇㄞˋ ㄗˇ,麥子󠇡,U+9EA5 U+5B50 U+E01E1,子:IVS+1,
賣關子,ㄇㄞˋ ㄍㄨㄢ ˙ㄗ,ㄇㄞˋ ㄍㄨㄢ ㄗˇ,賣關子󠇡,U+8CE3 U+95DC U+5B50 U+E01E1,子:IVS+1,
沒法子,ㄇㄟˊ ㄈㄚˊ ˙ㄗ,ㄇㄟˊ ㄈㄚˇ ㄗˇ,沒法󠇡子󠇡,U+6C92 U+6CD5 U+E01E1 U+5B50 U+E01E1,法:IVS+1; 子:IVS+1,
沒空,ㄇㄟˊ ㄎㄨㄥˋ,ㄇㄟˊ ㄎㄨㄥ,沒空󠇡,U+6C92 U+7A7A U+E01E1,空:IVS+1,
沒轍,ㄇㄟˊ ㄓㄜˊ,ㄇㄟˊ ㄔㄜˋ,沒轍󠇡,U+6C92 U+8F4D U+E01E1,轍:IVS+1,
沒著落,ㄇㄟˊ ㄓㄨㄛˊ ㄌㄨㄛˋ,ㄇㄟˊ ˙ㄓㄜ ㄌㄨㄛˋ,沒著󠇤落,U+6C92 U+8457 U+E01E4 U+843D,著:IVS+4,
沒意思,ㄇㄟˊ ㄧˋ ˙ㄙ,ㄇㄟˊ ㄧˋ ㄙ,沒意思󠇢,U+6C92 U+610F U+601D U+E01E2,思:IVS+2,
沒完沒了,ㄇㄟˊ ㄨㄢˊ ㄇㄟˊ ㄌㄧㄠˇ,ㄇㄟˊ ㄨㄢˊ ㄇㄟˊ ˙ㄌㄜ,沒完沒了󠇡,U+6C92 U+5B8C U+6C92 U+4E86 U+E01E1,了:IVS+1,
梅子,ㄇㄟˊ ˙ㄗ,ㄇㄟˊ ㄗˇ,梅子󠇡,U+6885 U+5B50 U+E01E1,子:IVS+1,
美不勝收,ㄇㄟˇ ㄅㄨˋ ㄕㄥ ㄕㄡ,ㄇㄟˇ ㄅㄨˋ ㄕㄥˋ ㄕㄡ,美不勝󠇡收,U+7F8E U+4E0D U+52DD U+E01E1 U+6536,勝:IVS+1,
美得冒泡,ㄇㄟˇ ˙ㄉㄜ ㄇㄠˋ ㄆㄠˋ,ㄇㄟˇ ㄉㄜˊ ㄇㄠˋ ㄆㄠˋ,美得󠇡冒泡,U+7F8E U+5F97 U+E01E1 U+5192 U+6CE1,得:IVS+1,
美人胚子,ㄇㄟˇ ㄖㄣˊ ㄆㄟ ˙ㄗ,ㄇㄟˇ ㄖㄣˊ ㄆㄟ ㄗˇ,美人胚子󠇡,U+7F8E U+4EBA U+80DA U+5B50 U+E01E1,子:IVS+1,
妹妹,ㄇㄟˋ ˙ㄇㄟ,ㄇㄟˋ ㄇㄟˋ,妹妹󠇡,U+59B9 U+59B9 U+E01E1,妹:IVS+1,
茅塞,ㄇㄠˊ ㄙㄜˋ,ㄇㄠˊ ㄙㄞ,茅塞󠇡,U+8305 U+585E U+E01E1,塞:IVS+1,
茅塞頓開,ㄇㄠˊ ㄙㄜˋ ㄉㄨㄣˋ ㄎㄞ,ㄇㄠˊ ㄙㄞ ㄉㄨㄣˋ ㄎㄞ,茅塞󠇡頓開,U+8305 U+585E U+E01E1 U+9813 U+958B,塞:IVS+1,
茂盛,ㄇㄠˋ ㄕㄥˋ,ㄇㄠˋ ㄔㄥˊ,茂盛󠇡,U+8302 U+76DB U+E01E1,盛:IVS+1,
冒險犯難,ㄇㄠˋ ㄒㄧㄢˇ ㄈㄢˋ ㄋㄢˋ,ㄇㄠˋ ㄒㄧㄢˇ ㄈㄢˋ ㄋㄢˊ,冒險犯難󠇡,U+5192 U+96AA U+72AF U+96E3 U+E01E1,難:IVS+1,
帽子,ㄇㄠˋ ˙ㄗ,ㄇㄠˋ ㄗˇ,帽子󠇡,U+5E3D U+5B50 U+E01E1,子:IVS+1,
埋怨,ㄇㄢˊ ㄩㄢˋ,ㄇㄞˊ ㄩㄢˋ,埋󠇡怨,U+57CB U+E01E1 U+6028,埋:IVS+1,
蔓菁,ㄇㄢˊ ㄐㄧㄥ,ㄇㄢˋ ㄐㄧㄥ,蔓󠇡菁,U+8513 U+E01E1 U+83C1,蔓:IVS+1,
饅頭,ㄇㄢˊ ˙ㄊㄡ,ㄇㄢˊ ㄊㄡˊ,饅頭󠇡,U+9945 U+982D U+E01E1,頭:IVS+1,
蠻橫,ㄇㄢˊ ㄏㄥˋ,ㄇㄢˊ ㄏㄥˊ,蠻橫󠇡,U+883B U+6A6B U+E01E1,橫:IVS+1,
滿腦子,ㄇㄢˇ ㄋㄠˇ ˙ㄗ,ㄇㄢˇ ㄋㄠˇ ㄗˇ,滿腦子󠇡,U+6EFF U+8166 U+5B50 U+E01E1,子:IVS+1,
漫無目的,ㄇㄢˋ ㄨˊ ㄇㄨˋ ㄉㄧˋ,ㄇㄢˋ ㄨˊ ㄇㄨˋ ˙ㄉㄜ,漫無目的󠇢,U+6F2B U+7121 U+76EE U+7684 U+E01E2,的:IVS+2,
慢點兒,ㄇㄢˋ ㄉㄧㄢˇ ㄦ,ㄇㄢˋ ㄉㄧㄢˇ ㄦˊ,慢點兒󠇡,U+6162 U+9EDE U+5152 U+E01E1,兒:IVS+1,
謾罵,ㄇㄢˋ ㄇㄚˋ,ㄇㄢˊ ㄇㄚˋ,謾󠇡罵,U+8B3E U+E01E1 U+7F75,謾:IVS+1,
門縫,ㄇㄣˊ ㄈㄥˋ,ㄇㄣˊ ㄈㄥˊ,門縫󠇡,U+9580 U+7E2B U+E01E1,縫:IVS+1,
悶悶不樂,ㄇㄣˋ ㄇㄣˋ ㄅㄨˋ ㄌㄜˋ,ㄇㄣ ㄇㄣ ㄅㄨˋ ㄌㄜˋ,悶󠇡悶󠇡不樂,U+60B6 U+E01E1 U+60B6 U+E01E1 U+4E0D U+6A02,悶:IVS+1; 悶:IVS+1,
悶酒,ㄇㄣˋ ㄐㄧㄡˇ,ㄇㄣ ㄐㄧㄡˇ,悶󠇡酒,U+60B6 U+E01E1 U+9152,悶:IVS+1,
忙不迭地,ㄇㄤˊ ㄅㄨˋ ㄉㄧㄝˊ ˙ㄉㄜ,ㄇㄤˊ ㄅㄨˋ ㄉㄧㄝˊ ㄉㄧˋ,忙不迭地󠇡,U+5FD9 U+4E0D U+8FED U+5730 U+E01E1,地:IVS+1,
忙得不可開交,ㄇㄤˊ ˙ㄉㄜ ㄅㄨˋ ㄎㄜˇ ㄎㄞ ㄐㄧㄠ,ㄇㄤˊ ㄉㄜˊ ㄅㄨˋ ㄎㄜˇ ㄎㄞ ㄐㄧㄠ,忙得󠇡不可開交,U+5FD9 U+5F97 U+E01E1 U+4E0D U+53EF U+958B U+4EA4,得:IVS+1,
芒種,ㄇㄤˊ ㄓㄨㄥˋ,ㄇㄤˊ ㄓㄨㄥˇ,芒種󠇡,U+8292 U+7A2E U+E01E1,種:IVS+1,
矇蔽,ㄇㄥ ㄅㄧˋ,ㄇㄥˊ ㄅㄧˋ,矇󠇡蔽,U+77C7 U+E01E1 U+853D,矇:IVS+1,
矇騙,ㄇㄥ ㄆㄧㄢˋ,ㄇㄥˊ ㄆㄧㄢˋ,矇󠇡騙,U+77C7 U+E01E1 U+9A19,矇:IVS+1,
矇混,ㄇㄥ ㄏㄨㄣˋ,ㄇㄥˊ ㄏㄨㄣˋ,矇󠇡混,U+77C7 U+E01E1 U+6DF7,矇:IVS+1,
蒙難,ㄇㄥˊ ㄋㄢˋ,ㄇㄥˊ ㄋㄢˊ,蒙難󠇡,U+8499 U+96E3 U+E01E1,難:IVS+1,
猛將,ㄇㄥˇ ㄐㄧㄤˋ,ㄇㄥˇ ㄐㄧㄤ,猛將󠇡,U+731B U+5C07 U+E01E1,將:IVS+1,
彌撒,ㄇㄧˊ ㄙㄚ,ㄇㄧˊ ㄙㄚˇ,彌撒󠇡,U+5F4C U+6492 U+E01E1,撒:IVS+1,
彌撒曲,ㄇㄧˊ ㄙㄚ ㄑㄩˇ,ㄇㄧˊ ㄙㄚˇ ㄑㄩˇ,彌撒󠇡曲,U+5F4C U+6492 U+E01E1 U+66F2,撒:IVS+1,
密切,ㄇㄧˋ ㄑㄧㄝˋ,ㄇㄧˋ ㄑㄧㄝ,密切󠇡,U+5BC6 U+5207 U+E01E1,切:IVS+1,
苗頭,ㄇㄧㄠˊ ˙ㄊㄡ,ㄇㄧㄠˊ ㄊㄡˊ,苗頭󠇡,U+82D7 U+982D U+E01E1,頭:IVS+1,
妙處,ㄇㄧㄠˋ ㄔㄨˋ,ㄇㄧㄠˋ ㄔㄨˇ,妙處󠇡,U+5999 U+8655 U+E01E1,處:IVS+1,
免不了,ㄇㄧㄢˇ ㄅㄨˋ ㄌㄧㄠˇ,ㄇㄧㄢˇ ㄅㄨˋ ˙ㄌㄜ,免不了󠇡,U+514D U+4E0D U+4E86 U+E01E1,了:IVS+1,
免得,ㄇㄧㄢˇ ˙ㄉㄜ,ㄇㄧㄢˇ ㄉㄜˊ,免得󠇡,U+514D U+5F97 U+E01E1,得:IVS+1,
勉強,ㄇㄧㄢˇ ㄑㄧㄤˇ,ㄇㄧㄢˇ ㄑㄧㄤˊ,勉強󠇡,U+52C9 U+5F37 U+E01E1,強:IVS+1,
面面相覷,ㄇㄧㄢˋ ㄇㄧㄢˋ ㄒㄧㄤ ㄑㄩˋ,ㄇㄧㄢˋ ㄇㄧㄢˋ ㄒㄧㄤˋ ㄑㄩˋ,面面相󠇡覷,U+9762 U+9762 U+76F8 U+E01E1 U+89B7,相:IVS+1,
面子,ㄇㄧㄢˋ ˙ㄗ,ㄇㄧㄢˋ ㄗˇ,面子󠇡,U+9762 U+5B50 U+E01E1,子:IVS+1,
民意調查,ㄇㄧㄣˊ ㄧˋ ㄉㄧㄠˋ ㄔㄚˊ,ㄇㄧㄣˊ ㄧˋ ㄊㄧㄠˊ ㄔㄚˊ,民意調󠇡查,U+6C11 U+610F U+8ABF U+E01E1 U+67E5,調:IVS+1,
泯沒,ㄇㄧㄣˇ ㄇㄛˋ,ㄇㄧㄣˇ ㄇㄟˊ,泯沒󠇡,U+6CEF U+6C92 U+E01E1,沒:IVS+1,
澠池,ㄇㄧㄣˇ ㄔˊ,ㄕㄥˊ ㄔˊ,澠󠇡池,U+6FA0 U+E01E1 U+6C60,澠:IVS+1,
名不見經傳,ㄇㄧㄥˊ ㄅㄨˋ ㄐㄧㄢˋ ㄐㄧㄥ ㄓㄨㄢˋ,ㄇㄧㄥˊ ㄅㄨˋ ㄐㄧㄢˋ ㄐㄧㄥ ㄔㄨㄢˊ,名不見經傳󠇡,U+540D U+4E0D U+898B U+7D93 U+50B3 U+E01E1,傳:IVS+1,
名分,ㄇㄧㄥˊ ㄈㄣˋ,ㄇㄧㄥˊ ㄈㄣ,名分󠇡,U+540D U+5206 U+E01E1,分:IVS+1,
名角,ㄇㄧㄥˊ ㄐㄩㄝˊ,ㄇㄧㄥˊ ㄐㄧㄠˇ,名角󠇡,U+540D U+89D2 U+E01E1,角:IVS+1,
名著,ㄇㄧㄥˊ ㄓㄨˋ,ㄇㄧㄥˊ ˙ㄓㄜ,名著󠇡,U+540D U+8457 U+E01E1,著:IVS+1,
名實相符,ㄇㄧㄥˊ ㄕˊ ㄒㄧㄤ ㄈㄨˊ,ㄇㄧㄥˊ ㄕˊ ㄒㄧㄤˋ ㄈㄨˊ,名實相󠇡符,U+540D U+5BE6 U+76F8 U+E01E1 U+7B26,相:IVS+1,
名字,ㄇㄧㄥˊ ˙ㄗ,ㄇㄧㄥˊ ㄗˋ,名字󠇡,U+540D U+5B57 U+E01E1,字:IVS+1,
命根子,ㄇㄧㄥˋ ㄍㄣ ˙ㄗ,ㄇㄧㄥˋ ㄍㄣ ㄗˇ,命根子󠇡,U+547D U+6839 U+5B50 U+E01E1,子:IVS+1,
命中,ㄇㄧㄥˋ ㄓㄨㄥˋ,ㄇㄧㄥˋ ㄓㄨㄥ,命中󠇡,U+547D U+4E2D U+E01E1,中:IVS+1,
木頭,ㄇㄨˋ ˙ㄊㄡ,ㄇㄨˋ ㄊㄡˊ,木頭󠇡,U+6728 U+982D U+E01E1,頭:IVS+1,
目不暇給,ㄇㄨˋ ㄅㄨˋ ㄒㄧㄚˊ ㄐㄧˇ,ㄇㄨˋ ㄅㄨˋ ㄒㄧㄚˊ ㄍㄟˇ,目不暇給󠇡,U+76EE U+4E0D U+6687 U+7D66 U+E01E1,給:IVS+1,
目的,ㄇㄨˋ ㄉㄧˋ,ㄇㄨˋ ˙ㄉㄜ,目的󠇢,U+76EE U+7684 U+E01E2,的:IVS+2,
目的地,ㄇㄨˋ ㄉㄧˋ ㄉㄧˋ,ㄇㄨˋ ˙ㄉㄜ ㄉㄧˋ,目的󠇢地,U+76EE U+7684 U+E01E2 U+5730,的:IVS+2,
目空一切,ㄇㄨˋ ㄎㄨㄥ ㄧ ㄑㄧㄝˋ,ㄇㄨˋ ㄎㄨㄥ ㄧ ㄑㄧㄝ,目空一切󠇡,U+76EE U+7A7A U+4E00 U+5207 U+E01E1,切:IVS+1,
目無尊長,ㄇㄨˋ ㄨˊ ㄗㄨㄣ ㄓㄤˇ,ㄇㄨˋ ㄨˊ ㄗㄨㄣ ㄔㄤˊ,目無尊長󠇡,U+76EE U+7121 U+5C0A U+9577 U+E01E1,長:IVS+1,
發難,ㄈㄚ ㄋㄢˋ,ㄈㄚ ㄋㄢˊ,發難󠇡,U+767C U+96E3 U+E01E1,難:IVS+1,
發還,ㄈㄚ ㄏㄨㄢˊ,ㄈㄚ ㄏㄞˊ,發還󠇡,U+767C U+9084 U+E01E1,還:IVS+1,
發噱,ㄈㄚ ㄐㄩㄝˊ,ㄈㄚ ㄒㄩㄝ,發噱󠇡,U+767C U+5671 U+E01E1,噱:IVS+1,
發人深省,ㄈㄚ ㄖㄣˊ ㄕㄣ ㄒㄧㄥˇ,ㄈㄚ ㄖㄣˊ ㄕㄣ ㄕㄥˇ,發人深省󠇡,U+767C U+4EBA U+6DF1 U+7701 U+E01E1,省:IVS+1,
法子,ㄈㄚˊ ˙ㄗ,ㄈㄚˇ ㄗˇ,法󠇡子󠇡,U+6CD5 U+E01E1 U+5B50 U+E01E1,法:IVS+1; 子:IVS+1,
佛頭著糞,ㄈㄛˊ ㄊㄡˊ ㄓㄨㄛˊ ㄈㄣˋ,ㄈㄛˊ ㄊㄡˊ ˙ㄓㄜ ㄈㄣˋ,佛頭著󠇤糞,U+4F5B U+982D U+8457 U+E01E4 U+7CDE,著:IVS+4,
